स्त्रियो,स्त्री
सखियों,सखी
तिनकों,तिनका
काटों,काटा
व्यभिचारिणियों,व्यभिचारिणी
झाडियों,झाडी
हथकडिय़ां,हथकडी
लड़कियां,लड़की
सुर्ख़ियों,सुर्ख़ी
सीढियां,सीढी
चिडिय़ों,चिडिय़ा
सराहें,सराहा
सैकड़ों,सैकड़ा
लकड़ियाँ,लकड़ी
अचम्भित,अचम्भा
अठखेलियां,अठखेली
यूसुफवंशियों,यूसुफवंशी
लड़कियों,लड़की
थानों,थाना
तवों,तवा
प्रणालियों,प्रणाली
देवियां,देवी
भतीजों,भतीजा
छुट्टियाँ,छुट्टी
छुड़वाने,छुड़वाा
खोजियों,खोजी
धज्जियाँ,धज्जी
रानियां,रानी
पुरनियो,पुरनी
स्वामियों,स्वामी
हड्डियाँ,हड्डी
मालियों,माली
भणडारियों,भणडारी
अरबियों,अरबी
जूतियां,जूती
टिड्डियों,टिड्डी
चिन्गारियाँ,चिन्गारी
गोत्रियों,गोत्री
पोतों,पोता
बोलियां,बोली
अातंकियों,अातंकी
छोड़ना,छोड़
सहयोगी,सहयोग
बदले,बदल
छोड़ना,छोड़
बताया,बता
चाहती,चाह
उड़ान,उड़
भरने,भर
रही,रह
छोड़ने,छोड़
अपहर्ताअों,अपहर्ता
लगाते,लगा
जलाया,जला
क्ष्त्र्ाे,क्ष्त्र्
मारे,मार
अधिकारियो,अधिकारी
लापरवाही,लापरवाह
करे,कर
सूत्र्ााे,सूत्रा
लिखित,लिख
पहुंचा,पहुंच
उठाने,उठा
भागने,भाग
सहयोगियो,सहयोगी
चिल्लाने,चिल्ला
दौड़े,दौड़
अपराधियो,अपराधी
लाश्ााे,लाश
संबोधित,संबोध
संभालने,संभाल
ट्रेनो,ट्रेन
पलटने,पलट
बोगियो,बोगी
ग्रामीण्ााे,ग्रामीण
निकालने,निकाल
कराने,करा
देश्ाों,देश
वर्षों,वर्ष
सीमाअाे,सीमा
मंजूरी,मंजूर
प्रभावी,प्रभाव
पसलियों,पसली
पहुंचेगा,पहुंच
दक्ष्सो,दक्ष्स
रियायतो,रियायत
व्यावहारिक,व्यवहार
चमकाने,चमक
उद्योगो,उद्योग
खांए,खा
वस्तुअाे,वस्तु
बाधाअाे,बाधा
अर्थव्यवस्थाअाे,अर्थव्यवस्था
सरकारो,सरकार
उल्लेखनीय,उल्लेख
हमंे,हम
व्यापारिक,व्यापार
टिकाने,टिक
रखता,रख
रखेंगे,रखा
उत्पादो,उत्पाद
उष्णकटिबंधीय,उष्णकटिबंध
जिनकी,जिन
हजारो,हजार
लौटने,लौट
उद्योगो,उद्योग
संबंधित,संबंध
तपाऊंगा,तपा
अारोपी,अारोप
संरक्ष्ण्ाा,संरक्ष्ण
मंजूरी,मंजूर
मिटाए,मिट
करेगे,कर
विपक्ष्ाी,विपक्ष
सदस्यीय,सदस्य
प्रभावित,प्रभाव
इलाकों,इलाका
संबंधित,संबंध
प्रस्तावों,प्रस्ताव
विचारों,विचार
करेगे,कर
यही,यह
राजनेताअों,राजनेता
हिरासती,हिरासत
मिलना,मिल
नेताअों,नेता
वामपंथियों,वामपंथी
श्ाक्तियो,श्ाक्ति
विरोधी,विरोध
करती,कर
बुलाया,बुला
नीतियो,नीति
कहते,कह
जानकारी,जानकार
करीबी,करीब
प्रतिनिधित्व,प्रतिनिधि
पाकिस्तानी,पाकिस्तान
देश्ााे,देश
जवानो,जवान
राष्ट्रीय,राष्ट्र
हड़ताली,हड़ताल
डाक्टरो,डाक्टर
संवाददाताअाे,संवाददाता
कदमो,कदम
चिकित्सको,चिकित्सक
बुलाया,बुला
नेताअाे,नेता
विवादित,विवाद
चुनावी,चुनाव
कराएंगे,करा
करेगा,कर
ठुकराया,ठुकरा
रिश्तों,रिश्ता
जाएंगे,जा
संबंधो,संबंध
कहूंगा,कहूं
सहमति,सहमत
जताते,जता
निर्देश्ना,निर्देश
नेताअाे,नेता
पाबंदी,पाबंद
लगाने,लगा
बनाने,बना
तेजी,तेज
रहे,रह
संपन्नता,संपन्न
रखते,रख
रण्नाीतिक,रण्नाीति
रचाकर,रचा
जोड़ने,जोड़
करते,कर
जाएगा,जा
विवादित,विवाद
स्थिरता,स्थिर
लोगो,लोग
रखने,रख
प्रदर्श्ना,प्रदर्श्न
संभालेगे,संभाल
राष्ट्रीय,राष्ट्र
परिस्थितियो,परिस्थिति
संभालने,संभाल
चुनौतियो,चुनौती
समस्याअाे,समस्या
राज्यो,राज्य
ढूंढने,ढूंढ
संभालेगे,संभाल
पाने,पा
